Seller ID,Product ID,Product Price,Product Titlte,Product Image,Product Link,TikiNow,Freeship,Shocking Price,Reviews,Star Rating,Underpricing,Installments Allowed,Freegift,Additional Info,discount
15153123,3444804373842,95000,Mũ bảo hiểm nửa đầu  A33K,https://salt.tikicdn.com/cache/280x280/ts/product/ed/8d/18/6f97b624bb52d60d870ac3e22a6136bf.jpg,https://tiki.vn//mu-bao-hiem-nua-dau-a33k-p15153123.html,True,False,False,108,4.0,False,False,False,,-52%
19748905,1116571870108,15000,"Bộ 2 đèn LED gắn van bánh xe đạp, xe máy, ô tô",https://salt.tikicdn.com/cache/280x280/ts/product/b7/5b/de/3561283c435adfb63447ebabc180718f.jpg,https://tiki.vn//bo-2-den-led-gan-van-banh-xe-dap-xe-may-o-to-p19748905.html,True,False,True,151,3.5,False,False,False,,-85%
41263296,5554061784492,100500000,Xe Máy Honda SH 150i Phanh CBS 2020,https://salt.tikicdn.com/cache/280x280/ts/product/6e/24/15/293751e5a277cbd8e66b6dff4d70d71f.jpg,https://tiki.vn//xe-may-honda-sh-150i-phanh-cbs-2020-p41263296.html,False,False,False,49,5.0,False,True,False,Chỉ giao tại HANOI,-12%
1254623,6525759278035,133600,"Chai Xịt Chăm Sóc Da, Nội Thất Ô Tô- 3M Leather & Vinyl Restorer PN39040LT (400ml) - Đen",https://salt.tikicdn.com/cache/280x280/ts/product/5b/c5/30/97a8b60357e8ea453de93499758ec6b5.jpg,https://tiki.vn//chai-xit-cham-soc-da-noi-that-o-to-3m-leather-vinyl-restorer-pn39040lt-400ml-den-p1254623.html,True,False,False,166,4.5,False,False,False,,-54%
57775755,5901283321262,187000,"Mũ Bảo Hiểm 3/4 đầu SRT N168 Freesize - Lót nâu, viền bạc, khóa đỏ (Nhiều màu)",https://salt.tikicdn.com/cache/280x280/ts/product/bd/6f/ad/ffa07cd303b8d8d9ca5117d98e6516ca.jpg,https://tiki.vn//mu-bao-hiem-3-4-dau-srt-n168-freesize-lot-nau-vien-bac-khoa-do-nhieu-mau-p57775755.html,True,False,False,55,4.5,False,False,False,,-37%
31513611,9169781318276,69900," Kem đánh bóng kim loại đa dụng inox, đồng, .... Autosol Metal Polish 75ml",https://salt.tikicdn.com/cache/280x280/ts/product/56/51/e9/644c1c460726b2b783b579af1f085d1e.jpg,https://tiki.vn//kem-danh-bong-kim-loai-da-dung-inox-dong-autosol-metal-polish-75ml-p31513611.html,True,False,False,133,4.5,True,False,False,,-13%
58298238,3646704573821,33290000,"Xe Máy Honda Future 125 FI 2020 - Phanh Đĩa, Vành Đúc",https://salt.tikicdn.com/cache/280x280/ts/product/0b/61/dc/0a843559cd401a412e3b28604a02ce26.png,https://tiki.vn//xe-may-honda-future-125-fi-2020-phanh-dia-vanh-duc-p58298238.html,True,False,False,17,5.0,False,True,False,,-10%
38333450,6611312796891,339000,"Đệm Giường Hơi Ô Tô Cao Cấp, Đệm Hơi Xe Hơi Amalife (Tặng Kèm Bơm Điện)",https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/6f/2b/71/f3d1d586740e113cf23c4776078e9f7a.JPG,https://tiki.vn//dem-hoi-giuong-hoi-o-to-cao-cap-amalife-tang-kem-bom-dien-p38333450.html,True,False,False,79,4.0,False,False,False,,-60%
42347550,8295716151272,70000,"Bộ 4 miếng dán chống đọng nước kính hông và gương chiếu hậu ô tô, xe hơi cao cấp DC150",https://salt.tikicdn.com/cache/280x280/ts/product/02/ff/b6/22a03919f777c92fa7cae4905690dfc6.png,https://tiki.vn//bo-4-mieng-dan-chong-dong-nuoc-kinh-hong-va-guong-chieu-hau-o-to-xe-hoi-cao-cap-dc150-p42347550.html,True,False,False,127,3.0,False,False,False,,-76%
3717427,3088510131305,125000,Bộ 6 Khăn Lau Xe Ô Tô Thấm Nước Nhanh (30 x 70 cm),https://salt.tikicdn.com/cache/280x280/ts/product/40/90/96/6e7d36d38378accae843e76dbffecf86.jpg,https://tiki.vn//bo-6-khan-lau-xe-o-to-tham-nuoc-nhanh-30-x-70-cm-p3717427.html,True,False,False,74,3.0,False,False,False,,-16%
48343083,5346342888186,219000,Mũ Bảo Hiểm 3/4 Napoli SH Free Size - Kem Lót Nâu,https://salt.tikicdn.com/cache/280x280/ts/product/1b/b0/c4/779dc6049f50db773fbca78072f3fc0f.jpg,https://tiki.vn//mu-bao-hiem-3-4-napoli-sh-free-size-kem-lot-nau-p48343083.html,True,False,False,49,4.5,True,False,False,,-27%
50392581,8081831289521,456000,Mũ Bảo Hiểm Royal M139 Kính Âm,https://salt.tikicdn.com/cache/280x280/ts/product/4b/b5/06/be7639dc850253741bf9d5cb93897461.JPG,https://tiki.vn//mu-bao-hiem-royal-m139-kinh-am-p50392581.html,True,False,False,91,4.5,False,False,False,,-31%
7295755,5068921767353,153000,Nước rửa xe đậm đặc Sonax Gloss Shampoo 314300 1L  ,https://salt.tikicdn.com/cache/280x280/ts/product/2e/44/4c/5c62aa0fc7209b74eceb1398511693e8.jpeg,https://tiki.vn//nuoc-rua-xe-dam-dac-sonax-gloss-shampoo-314300-1l-p7295755.html,True,False,False,171,4.5,True,False,False,,-25%
25476259,8465615689996,34100000,Xe Máy Honda Vision 2019 Bản Cao Cấp Smartkey,https://salt.tikicdn.com/cache/280x280/ts/product/13/f3/11/e456b86ed6623de16d63b572adef6b2f.jpg,https://tiki.vn//xe-may-honda-vision-2019-ban-cao-cap-smartkey-p25476259.html,False,False,False,21,5.0,False,True,False,Chỉ giao tại HANOI,-3%
3876417,7652896701733,74000,Máy Sạc Bình Ắc Quy Tự Động Cho Xe Máy (12V 2A) ,https://salt.tikicdn.com/cache/280x280/ts/product/9a/b5/19/2898f3742e478784c153af7a79d1c25f.jpg,https://tiki.vn//may-sac-binh-ac-quy-tu-dong-cho-xe-may-12v-2a-p3876417.html,True,False,False,150,4.0,False,False,False,,-59%
41263315,4915803872272,111800000,Xe Máy Honda SH 150i Phanh ABS 2020,https://salt.tikicdn.com/cache/280x280/ts/product/4f/1d/1e/200da02126b399dfad610fd9fb622fc3.jpg,https://tiki.vn//xe-may-honda-sh-150i-phanh-abs-2020-p41263315.html,False,False,False,26,5.0,False,True,False,Chỉ giao tại HANOI,-14%
50693882,4031092680555,242000,Combo Mũ Bảo Hiểm 3/4 Đầu Napoli SH Kèm Kính UV400 - Nón Bảo Hiểm Phượt Napoli Mẫu Mới 2020,https://salt.tikicdn.com/cache/280x280/ts/product/83/f8/e3/e79ff2405ce577c9ebe4e9a7431b8d31.jpg,https://tiki.vn//mu-ba-o-hie-m-3-4-da-u-napoli-sh-cao-cap-tang-ke-m-kinh-uv-p50693882.html,True,False,False,83,4.5,True,False,False,,-19%
11584334,1901481122115,70000000,Xe Máy Nhập Khẩu Suzuki GSX R150 -  Đỏ Đen,https://salt.tikicdn.com/cache/280x280/ts/product/71/a0/71/b747a02740a548baaf02f6d45f861157.jpg,https://tiki.vn//xe-may-nhap-khau-suzuki-gsx-r150-do-den-p11584334.html,False,True,False,4,5.0,False,True,False,Chỉ giao tại HCM,-11%
22956067,9407575503638,40500000,Xe Máy Honda Winner X - Phiên Bản Thể Thao,https://salt.tikicdn.com/cache/280x280/ts/product/e2/fb/6d/64bb25d6b734bf91301d95012e1e585a.jpg,https://tiki.vn//xe-may-honda-winner-x-phien-ban-the-thao-p22956067.html,False,False,False,62,5.0,False,True,False,Chỉ giao tại HCM,-19%
51275768,7682542328144,189000,"Đèn pha xe đạp siêu sáng cảm biến thông minh, chống nước, tự động điều chỉnh độ sáng theo môi trường, sạc usb, nhỏ gọn, dễ dàng lắp đặt, pin từ 4-8 tiếng, thương hiệu Wheel Up - Hàng chính hãng",https://salt.tikicdn.com/cache/280x280/ts/product/17/62/70/79ac9adcbc6e56d566dff389e6749d87.png,https://tiki.vn//den-pha-xe-dap-chong-nuoc-sieu-sang-cam-bien-thong-minh-sac-usb-nho-gon-de-dang-lap-dat-wheel-up-hang-chinh-hang-p51275768.html,True,False,False,85,4.5,False,False,False,,-28%
58705244,2549304113316,104000,"Bạt trùm xe máy, áo trùm xe vải dù cao cấp 220cm x 115cm che vừa vặn tất cả các loại xe máy - giao màu ngẫu nhiên",https://salt.tikicdn.com/cache/280x280/ts/product/a1/81/ac/589abf58e4bd195a1539a4193e3dada2.jpg,https://tiki.vn//bat-trum-xe-may-ao-trum-xe-vai-du-cao-cap-220cm-x-115cm-che-vua-van-ta-t-ca-cac-loai-xe-may-giao-mau-ngau-nhien-p58705244.html,True,False,False,71,4.5,False,False,False,,-26%
12708513,4415011794552,103000,Mũ Bảo Hiểm 3/4 Bopa Chuyên Phượt,https://salt.tikicdn.com/cache/280x280/ts/product/de/50/7b/fb57abdf62975a270d32551b0eba34a5.jpg,https://tiki.vn//mu-bao-hiem-3-4-bopa-chuyen-phuot-p12708513.html,True,False,False,54,4.5,False,False,False,,-31%
2050471,5028102498032,73900,Băng keo cường lực 3M siêu dính 4229P-12 12mm x10m,https://salt.tikicdn.com/cache/280x280/ts/product/b1/44/01/c58c03f0ed611ca4e016838bb76b3470.jpg,https://tiki.vn//bang-keo-cuong-luc-3m-sieu-di-nh-4229p-12-12mm-x10m-p2050471.html,True,False,False,191,4.0,False,False,False,,-46%
52757816,6453486205867,279000,"Bơm đạp chân đa năng 2 xi lanh ROCKBROS dùng cho ô tô, xe máy, xe đạp dế dàng sử dụng",https://salt.tikicdn.com/cache/280x280/ts/product/0e/c3/0f/3077ef1175cdd21cdb64a6309c013498.jpg,https://tiki.vn//bom-dap-chan-da-nang-2-xi-lanh-rockbros-dung-cho-o-to-xe-may-xe-dap-de-dang-su-dung-p52757816.html,True,False,False,86,4.5,False,False,False,,-36%
20918089,9416700041976,119000,"Bộ Combo Dưỡng sên Thunder Chain Lube 400ml, Vệ sinh sên MC-40 400ml tặng bàn chải chà sên 3D",https://salt.tikicdn.com/cache/280x280/ts/product/6a/c5/12/cc2270d4c0f73496918b6a8b6241c646.jpg,https://tiki.vn//bo-combo-duong-sen-thunder-chain-lube-400ml-ve-sinh-sen-mc-40-400ml-tang-ban-chai-cha-sen-3d-p20918089.html,True,False,False,94,4.5,False,False,False,,-52%
